,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
74,Brad Daugherty,C,21.0,CLE,80.0,80.0,2695.0,8.6,15.9,0.538,0.0,0.0,0.0,8.6,15.9,0.538,4.9,7.1,0.696,2.7,8.7,11.4,5.3,0.9,1.1,4.4,4.4,22.0,0.0,108.0,106.0
75,Brad Davis,PG,31.0,DAL,82.0,6.0,1582.0,6.0,13.2,0.456,1.0,3.2,0.302,5.0,10.0,0.506,4.4,5.2,0.86,0.8,2.6,3.4,11.3,1.9,0.3,3.4,4.8,17.4,0.0,117.0,111.0
76,Walter Davis,SG,32.0,PHO,79.0,79.0,2646.0,13.9,26.9,0.514,0.4,1.4,0.259,13.5,25.5,0.529,5.1,5.9,0.862,1.6,2.7,4.3,6.5,1.7,0.1,4.0,3.3,33.2,0.0,110.0,113.0
77,Darryl Dawkins,C,30.0,NJN,6.0,2.0,106.0,8.9,14.2,0.625,0.0,0.0,0.0,8.9,14.2,0.625,7.6,10.7,0.708,4.0,4.4,8.4,0.9,0.9,1.3,6.7,11.1,25.3,0.0,103.0,112.0
78,Johnny Dawkins,PG,23.0,SAS,81.0,14.0,1682.0,9.4,21.4,0.437,0.4,1.3,0.298,9.0,20.1,0.446,4.3,5.4,0.801,1.6,3.2,4.7,8.1,1.9,0.1,3.4,3.3,23.4,0.0,105.0,113.0
79,Darren Daye,SF,26.0,TOT,62.0,2.0,731.0,6.7,13.5,0.5,0.0,0.0,0.0,6.7,13.5,0.5,2.3,4.3,0.523,2.5,5.9,8.3,5.1,1.7,0.5,3.8,6.7,15.7,0.0,97.0,107.0
80,Darren Daye,SF,26.0,CHI,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,7.2,7.2,0.0,0.0,7.2,14.3,0.0,0.0,36.0,111.0
81,Darren Daye,SF,26.0,BOS,61.0,2.0,724.0,6.8,13.6,0.5,0.0,0.0,0.0,6.8,13.6,0.5,2.3,4.4,0.523,2.5,5.8,8.3,5.0,1.7,0.5,3.8,6.6,15.9,0.0,97.0,107.0
82,James Donaldson,C,29.0,DAL,82.0,82.0,3028.0,4.9,8.4,0.586,0.0,0.0,0.0,4.9,8.4,0.586,4.2,5.2,0.812,4.7,10.7,15.3,1.0,0.8,2.1,1.6,3.0,14.0,0.0,132.0,106.0
83,Bruce Douglas,SG,22.0,SAC,8.0,1.0,98.0,3.4,11.6,0.292,0.0,0.5,0.0,3.4,11.1,0.304,0.0,1.9,0.0,2.4,4.3,6.8,8.2,4.3,0.0,4.3,4.3,6.8,0.0,69.0,108.0
