,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
83,Sterling Brown,SF,24.0,MIL,37.0,0.0,556.0,70.0,181.0,0.387,31.0,92.0,0.337,39.0,89.0,0.438,0.472,26.0,33.0,0.788,26.0,121.0,147.0,36.0,21.0,5.0,31.0,40.0,197.0
84,Troy Brown,SG,20.0,WAS,50.0,14.0,1292.0,198.0,432.0,0.458,40.0,120.0,0.333,158.0,312.0,0.506,0.505,75.0,99.0,0.758,55.0,227.0,282.0,116.0,67.0,5.0,52.0,94.0,511.0
85,Jalen Brunson,PG,23.0,DAL,55.0,15.0,1002.0,178.0,382.0,0.466,43.0,119.0,0.361,135.0,263.0,0.513,0.522,61.0,74.0,0.824,22.0,111.0,133.0,183.0,21.0,4.0,65.0,71.0,460.0
86,Thomas Bryant,C,22.0,WAS,29.0,23.0,738.0,151.0,257.0,0.588,15.0,44.0,0.341,136.0,213.0,0.638,0.617,56.0,75.0,0.747,59.0,156.0,215.0,64.0,10.0,26.0,41.0,66.0,373.0
87,Reggie Bullock,SG,28.0,NYK,21.0,18.0,545.0,80.0,200.0,0.4,33.0,100.0,0.33,47.0,100.0,0.47,0.483,13.0,15.0,0.867,12.0,40.0,52.0,31.0,23.0,0.0,13.0,48.0,206.0
88,Trey Burke,PG,27.0,PHI,25.0,0.0,329.0,59.0,127.0,0.465,16.0,38.0,0.421,43.0,89.0,0.483,0.528,13.0,18.0,0.722,15.0,20.0,35.0,53.0,7.0,1.0,12.0,21.0,147.0
89,Alec Burks,SG,28.0,TOT,49.0,18.0,1404.0,245.0,605.0,0.405,84.0,226.0,0.372,161.0,379.0,0.425,0.474,201.0,224.0,0.897,37.0,189.0,226.0,153.0,50.0,17.0,76.0,108.0,775.0
90,Alec Burks,SG,28.0,GSW,48.0,18.0,1390.0,244.0,601.0,0.406,84.0,224.0,0.375,160.0,377.0,0.424,0.476,201.0,224.0,0.897,37.0,189.0,226.0,151.0,50.0,17.0,76.0,107.0,773.0
91,Alec Burks,SG,28.0,PHI,1.0,0.0,14.0,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0
92,Deonte Burton,SG,26.0,OKC,30.0,0.0,254.0,34.0,93.0,0.366,7.0,39.0,0.179,27.0,54.0,0.5,0.403,6.0,12.0,0.5,5.0,34.0,39.0,10.0,4.0,9.0,9.0,26.0,81.0
