b'Date',b'href',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Sun, Jan 20, 1957",/boxscores/195701200SYR.html,Fort Wayne Pistons,98,Syracuse Nationals,101,Box Score,,,
"Tue, Jan 22, 1957",/boxscores/195701220NYK.html,Syracuse Nationals,88,New York Knicks,90,Box Score,,,
"Tue, Jan 22, 1957",/boxscores/195701220FTW.html,St. Louis Hawks,87,Fort Wayne Pistons,97,Box Score,,,
"Wed, Jan 23, 1957",/boxscores/195701230BOS.html,Syracuse Nationals,108,Boston Celtics,140,Box Score,,,
"Wed, Jan 23, 1957",/boxscores/195701230FTW.html,St. Louis Hawks,101,Fort Wayne Pistons,78,Box Score,,,"at Charlotte, NC"
"Wed, Jan 23, 1957",/boxscores/195701230MNL.html,Rochester Royals,99,Minneapolis Lakers,107,Box Score,,,"at Louisville, KY"
"Wed, Jan 23, 1957",/boxscores/195701230NYK.html,Philadelphia Warriors,99,New York Knicks,93,Box Score,,,"at Boston, MA"
"Thu, Jan 24, 1957",/boxscores/195701240PHW.html,St. Louis Hawks,96,Philadelphia Warriors,107,Box Score,,,
"Thu, Jan 24, 1957",/boxscores/195701240SYR.html,New York Knicks,97,Syracuse Nationals,115,Box Score,,,
"Fri, Jan 25, 1957",/boxscores/195701250ROC.html,St. Louis Hawks,100,Rochester Royals,99,Box Score,,,"at Boston, MA"
"Fri, Jan 25, 1957",/boxscores/195701250BOS.html,Minneapolis Lakers,106,Boston Celtics,115,Box Score,,,
"Sat, Jan 26, 1957",/boxscores/195701260FTW.html,Philadelphia Warriors,98,Fort Wayne Pistons,101,Box Score,,,
"Sat, Jan 26, 1957",/boxscores/195701260NYK.html,Minneapolis Lakers,107,New York Knicks,122,Box Score,,,
"Sat, Jan 26, 1957",/boxscores/195701260ROC.html,Syracuse Nationals,99,Rochester Royals,95,Box Score,,,
"Sun, Jan 27, 1957",/boxscores/195701270FTW.html,New York Knicks,102,Fort Wayne Pistons,103,Box Score,OT,,
"Sun, Jan 27, 1957",/boxscores/195701270PHW.html,Boston Celtics,107,Philadelphia Warriors,87,Box Score,,,
"Sun, Jan 27, 1957",/boxscores/195701270STL.html,Rochester Royals,83,St. Louis Hawks,107,Box Score,,,
"Sun, Jan 27, 1957",/boxscores/195701270SYR.html,Minneapolis Lakers,93,Syracuse Nationals,94,Box Score,,,
"Mon, Jan 28, 1957",/boxscores/195701280MNL.html,Syracuse Nationals,112,Minneapolis Lakers,96,Box Score,,,"at Boston, MA"
"Mon, Jan 28, 1957",/boxscores/195701280BOS.html,Philadelphia Warriors,95,Boston Celtics,105,Box Score,,,
"Tue, Jan 29, 1957",/boxscores/195701290BOS.html,Minneapolis Lakers,91,Boston Celtics,103,Box Score,,,"at New York, NY"
"Tue, Jan 29, 1957",/boxscores/195701290NYK.html,Philadelphia Warriors,110,New York Knicks,114,Box Score,,,
"Tue, Jan 29, 1957",/boxscores/195701290STL.html,Fort Wayne Pistons,91,St. Louis Hawks,85,Box Score,,,
"Wed, Jan 30, 1957",/boxscores/195701300BOS.html,Syracuse Nationals,119,Boston Celtics,116,Box Score,,,
"Wed, Jan 30, 1957",/boxscores/195701300NYK.html,Rochester Royals,80,New York Knicks,92,Box Score,,,"at Boston, MA"
"Thu, Jan 31, 1957",/boxscores/195701310MNL.html,Fort Wayne Pistons,111,Minneapolis Lakers,107,Box Score,,,
"Thu, Jan 31, 1957",/boxscores/195701310NYK.html,Philadelphia Warriors,106,New York Knicks,102,Box Score,,,"at Syracuse, NY"
"Thu, Jan 31, 1957",/boxscores/195701310SYR.html,Boston Celtics,104,Syracuse Nationals,105,Box Score,,,
"Fri, Feb 1, 1957",/boxscores/195702010FTW.html,Rochester Royals,96,Fort Wayne Pistons,80,Box Score,,,"at Cincinnati, OH"
"Sat, Feb 2, 1957",/boxscores/195702020MNL.html,St. Louis Hawks,106,Minneapolis Lakers,97,Box Score,,,
"Sat, Feb 2, 1957",/boxscores/195702020NYK.html,Boston Celtics,114,New York Knicks,111,Box Score,,,
"Sat, Feb 2, 1957",/boxscores/195702020PHW.html,Syracuse Nationals,100,Philadelphia Warriors,107,Box Score,,,
"Sat, Feb 2, 1957",/boxscores/195702020ROC.html,Fort Wayne Pistons,79,Rochester Royals,93,Box Score,,,
"Sun, Feb 3, 1957",/boxscores/195702030SYR.html,Fort Wayne Pistons,95,Syracuse Nationals,104,Box Score,,,
"Sun, Feb 3, 1957",/boxscores/195702030STL.html,Minneapolis Lakers,85,St. Louis Hawks,102,Box Score,,,
"Sun, Feb 3, 1957",/boxscores/195702030PHW.html,Rochester Royals,108,Philadelphia Warriors,110,Box Score,,,"at Camden, NJ"
"Sun, Feb 3, 1957",/boxscores/195702030BOS.html,New York Knicks,98,Boston Celtics,116,Box Score,,,
"Mon, Feb 4, 1957",/boxscores/195702040FTW.html,Philadelphia Warriors,91,Fort Wayne Pistons,103,Box Score,,,
"Tue, Feb 5, 1957",/boxscores/195702050BOS.html,Syracuse Nationals,101,Boston Celtics,105,Box Score,,,"at New York, NY"
"Tue, Feb 5, 1957",/boxscores/195702050NYK.html,Rochester Royals,91,New York Knicks,88,Box Score,,,
"Tue, Feb 5, 1957",/boxscores/195702050STL.html,Philadelphia Warriors,101,St. Louis Hawks,87,Box Score,,,
"Wed, Feb 6, 1957",/boxscores/195702060ROC.html,St. Louis Hawks,100,Rochester Royals,103,Box Score,,,
"Wed, Feb 6, 1957",/boxscores/195702060NYK.html,Syracuse Nationals,100,New York Knicks,119,Box Score,,,"at Boston, MA"
"Wed, Feb 6, 1957",/boxscores/195702060MNL.html,Philadelphia Warriors,100,Minneapolis Lakers,101,Box Score,,,
"Wed, Feb 6, 1957",/boxscores/195702060BOS.html,Fort Wayne Pistons,93,Boston Celtics,108,Box Score,,,
"Thu, Feb 7, 1957",/boxscores/195702070SYR.html,St. Louis Hawks,110,Syracuse Nationals,112,Box Score,,,
"Fri, Feb 8, 1957",/boxscores/195702080BOS.html,New York Knicks,92,Boston Celtics,90,Box Score,,,"at Philadelphia, PA"
"Fri, Feb 8, 1957",/boxscores/195702080PHW.html,St. Louis Hawks,90,Philadelphia Warriors,93,Box Score,,,
"Sat, Feb 9, 1957",/boxscores/195702090ROC.html,Boston Celtics,102,Rochester Royals,103,Box Score,,,
"Sat, Feb 9, 1957",/boxscores/195702090NYK.html,Syracuse Nationals,101,New York Knicks,89,Box Score,,,
