b'Date',b'href',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Tue, Nov 29, 1977",/boxscores/197711290HOU.html,New York Knicks,103,Houston Rockets,120,Box Score,,,
"Tue, Nov 29, 1977",/boxscores/197711290MIL.html,Detroit Pistons,100,Milwaukee Bucks,99,Box Score,,,
"Tue, Nov 29, 1977",/boxscores/197711290POR.html,Phoenix Suns,96,Portland Trail Blazers,108,Box Score,,,
"Tue, Nov 29, 1977",/boxscores/197711290SAS.html,Philadelphia 76ers,129,San Antonio Spurs,117,Box Score,,,
"Wed, Nov 30, 1977",/boxscores/197711300BOS.html,Chicago Bulls,92,Boston Celtics,98,Box Score,,,
"Wed, Nov 30, 1977",/boxscores/197711300BUF.html,Atlanta Hawks,93,Buffalo Braves,105,Box Score,,,
"Wed, Nov 30, 1977",/boxscores/197711300DET.html,Los Angeles Lakers,98,Detroit Pistons,104,Box Score,,,
"Wed, Nov 30, 1977",/boxscores/197711300IND.html,Milwaukee Bucks,120,Indiana Pacers,113,Box Score,,,
"Wed, Nov 30, 1977",/boxscores/197711300KCK.html,Seattle SuperSonics,86,Kansas City Kings,84,Box Score,,,
"Wed, Nov 30, 1977",/boxscores/197711300NOJ.html,Philadelphia 76ers,117,New Orleans Jazz,114,Box Score,,,
"Wed, Nov 30, 1977",/boxscores/197711300WSB.html,San Antonio Spurs,105,Washington Bullets,116,Box Score,,,
"Thu, Dec 1, 1977",/boxscores/197712010CLE.html,Houston Rockets,105,Cleveland Cavaliers,92,Box Score,,,
"Thu, Dec 1, 1977",/boxscores/197712010SAS.html,New York Knicks,116,San Antonio Spurs,120,Box Score,,,
